Car_ID,Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country,Car_Age,Price_Category,HP_per_CC,Age_Category,Efficiency_Score
CAR_0056,Honda,2007,SUV,Electric,Automatic,3675,227,21,33972.93951514292,Japan,19,Premium,0.0618,Old,0.55
CAR_0057,Ford,2006,Hatchback,Petrol,Automatic,2068,390,15,46636.0292342642,USA,20,Premium,0.1886,Old,0.25
CAR_0058,Mercedes,2014,Coupe,Petrol,Automatic,2449,398,23,70768.4246702145,UK,12,Budget,0.1625,Moderate,0.65
CAR_0059,Hyundai,2019,Hatchback,Electric,Manual,4759,325,26,85373.92200162011,UK,7,Budget,0.0683,Recent,0.8
CAR_0060,Tesla,2016,Coupe,Diesel,Automatic,3692,241,16,62002.28867070192,Japan,10,Budget,0.0653,Moderate,0.3
CAR_0061,Kia,2017,Coupe,Hybrid,Automatic,2268,420,21,74004.33993652844,USA,9,Luxury,0.1852,Moderate,0.55
CAR_0062,Toyota,2011,Sedan,Diesel,Automatic,4196,307,22,60648.11362863047,South Korea,15,Luxury,0.0732,Old,0.6
CAR_0063,Toyota,2010,Coupe,Petrol,Manual,3486,169,17,39088.40566451866,South Korea,16,Luxury,0.0485,Old,0.35
CAR_0064,Audi,2012,Sedan,Diesel,Automatic,3388,569,18,87082.26082172009,USA,14,Premium,0.1679,Old,0.4
CAR_0065,Hyundai,2010,SUV,Electric,Automatic,4407,92,30,34775.75999537749,UK,16,Budget,0.0209,Old,1.0
CAR_0066,BMW,2009,Coupe,Diesel,Automatic,4902,183,11,45232.91753621299,Germany,17,Budget,0.0373,Old,0.05
CAR_0067,Hyundai,2022,Sedan,Petrol,Manual,2563,499,16,101776.41793131724,Germany,4,Budget,0.1947,Recent,0.3
CAR_0068,Ford,2024,Hatchback,Diesel,Automatic,3662,469,20,109434.26228557779,South Korea,2,Luxury,0.1281,New,0.5
CAR_0069,Mercedes,2006,SUV,Hybrid,Manual,3474,158,11,25931.619958268348,Japan,20,Premium,0.0455,Old,0.05
CAR_0070,Nissan,2010,SUV,Diesel,Automatic,3756,576,11,88450.08205482521,South Korea,16,Premium,0.1534,Old,0.05
CAR_0071,Kia,2010,Sedan,Diesel,Manual,4042,557,29,84193.08205970717,South Korea,16,Budget,0.1378,Old,0.95
CAR_0072,BMW,2019,Sedan,Electric,Automatic,1733,87,16,37818.54374354678,UK,7,Premium,0.0502,Recent,0.3
CAR_0073,Nissan,2010,Coupe,Hybrid,Automatic,4469,348,22,63641.59588543678,Germany,16,Luxury,0.0779,Old,0.6
CAR_0074,Tesla,2023,Coupe,Petrol,Automatic,1815,96,15,51325.75350579755,USA,3,Budget,0.0529,New,0.25
CAR_0075,Ford,2014,Hatchback,Electric,Automatic,3659,268,25,55947.06864636556,Germany,12,Premium,0.0732,Moderate,0.75
CAR_0076,Kia,2015,Pickup,Diesel,Automatic,2443,243,16,57275.47865326495,South Korea,11,Luxury,0.0995,Moderate,0.3
CAR_0077,Nissan,2012,Sedan,Petrol,Manual,2589,431,23,72632.29383798897,Germany,14,Premium,0.1665,Old,0.65
CAR_0078,BMW,2017,SUV,Diesel,Automatic,4899,124,13,52249.09474944208,South Korea,9,Budget,0.0253,Moderate,0.15
CAR_0079,Tesla,2018,Pickup,Petrol,Automatic,3224,503,14,94675.63054003427,China,8,Luxury,0.156,Moderate,0.2
CAR_0080,Ford,2013,Pickup,Petrol,Manual,3805,432,14,77755.26838379538,UK,13,Luxury,0.1135,Old,0.2
CAR_0081,Toyota,2018,Pickup,Hybrid,Automatic,1020,536,22,85618.66489322242,Germany,8,Mid-Range,0.5255,Moderate,0.6
CAR_0082,Tesla,2025,SUV,Diesel,Automatic,3664,568,16,122934.71585926677,UK,1,Budget,0.155,New,0.3
CAR_0083,Honda,2014,Sedan,Diesel,Automatic,1930,78,13,26962.92059986693,China,12,Premium,0.0404,Moderate,0.15
CAR_0084,Hyundai,2015,Sedan,Electric,Automatic,3291,204,16,50767.14279011807,South Korea,11,Premium,0.062,Moderate,0.3
CAR_0085,BMW,2007,SUV,Diesel,Manual,4555,352,18,58179.14043034634,UK,19,Premium,0.0773,Old,0.4
CAR_0086,Audi,2020,SUV,Electric,Manual,1026,331,20,65228.75619148558,Germany,6,Budget,0.3226,Recent,0.5
CAR_0087,Honda,2022,SUV,Electric,Manual,3967,137,30,68391.79126965304,USA,4,Budget,0.0345,Recent,1.0
CAR_0088,Kia,2016,Pickup,Petrol,Manual,4611,149,13,58652.070945383944,China,10,Budget,0.0323,Moderate,0.15
CAR_0089,Hyundai,2009,SUV,Diesel,Manual,3564,100,29,27877.842668953774,China,17,Budget,0.0281,Old,0.95
CAR_0090,Ford,2023,Sedan,Hybrid,Manual,1883,231,18,67568.02955640144,China,3,Budget,0.1227,New,0.4
CAR_0091,Kia,2012,SUV,Hybrid,Automatic,3587,165,29,42473.68235706537,Germany,14,Budget,0.046,Old,0.95
CAR_0092,Hyundai,2014,Pickup,Petrol,Automatic,2312,485,17,77928.64800588011,Japan,12,Premium,0.2098,Moderate,0.35
CAR_0093,Nissan,2020,SUV,Electric,Automatic,4994,301,12,83256.99814887623,USA,6,Budget,0.0603,Recent,0.1
CAR_0094,Ford,2022,Sedan,Diesel,Manual,3654,287,23,79218.45072382894,USA,4,Premium,0.0785,Recent,0.65
CAR_0095,Hyundai,2023,Sedan,Electric,Manual,4965,156,17,77365.73805047182,USA,3,Premium,0.0314,New,0.35
CAR_0096,Ford,2010,Pickup,Electric,Automatic,4964,499,10,85141.85928366234,USA,16,Mid-Range,0.1005,Old,0.0
CAR_0097,Honda,2008,Coupe,Electric,Manual,3897,322,25,51402.22721090598,Germany,18,Premium,0.0826,Old,0.75
CAR_0098,Audi,2014,Coupe,Petrol,Automatic,2677,560,11,87283.54784867053,USA,12,Budget,0.2092,Moderate,0.05
CAR_0099,Hyundai,2023,Hatchback,Diesel,Manual,3592,252,22,82981.92192900943,Germany,3,Budget,0.0702,New,0.6
CAR_0100,Ford,2010,Hatchback,Diesel,Manual,2951,323,13,51511.34429879901,USA,16,Mid-Range,0.1095,Old,0.15
CAR_0101,Honda,2015,Coupe,Hybrid,Manual,4555,349,15,75029.17904533402,Germany,11,Mid-Range,0.0766,Moderate,0.25
CAR_0102,BMW,2005,SUV,Petrol,Manual,1151,394,17,39293.19040282096,Germany,21,Budget,0.3423,Old,0.35
CAR_0103,Tesla,2009,Sedan,Hybrid,Manual,2717,460,12,66139.49958911253,Japan,17,Luxury,0.1693,Old,0.1
CAR_0104,Nissan,2017,Pickup,Petrol,Manual,4040,120,27,53482.714340392864,UK,9,Premium,0.0297,Moderate,0.85
CAR_0105,Hyundai,2007,Sedan,Electric,Manual,2635,183,24,29597.541638172675,Germany,19,Budget,0.0694,Old,0.7
CAR_0106,Nissan,2020,Pickup,Hybrid,Manual,1947,235,12,57340.09775919363,UK,6,Luxury,0.1207,Recent,0.1
CAR_0107,Toyota,2025,Coupe,Diesel,Manual,1332,423,27,95197.10880476407,China,1,Budget,0.3176,New,0.85
CAR_0108,Tesla,2021,Coupe,Hybrid,Manual,4823,182,17,76134.5511749149,China,5,Budget,0.0377,Recent,0.35
CAR_0109,BMW,2010,Hatchback,Petrol,Automatic,2066,338,23,46275.96679629743,Germany,16,Budget,0.1636,Old,0.65
CAR_0110,Honda,2014,Pickup,Diesel,Manual,4702,110,11,46728.51754300077,South Korea,12,Budget,0.0234,Moderate,0.05
CAR_0111,Nissan,2014,Pickup,Hybrid,Manual,2200,73,29,30066.12402301436,USA,12,Budget,0.0332,Moderate,0.95
CAR_0112,Tesla,2013,Coupe,Hybrid,Manual,1255,274,25,44962.455574575084,Japan,13,Premium,0.2183,Old,0.75
CAR_0113,BMW,2008,Sedan,Electric,Manual,2280,480,25,63254.76113743918,Germany,18,Mid-Range,0.2105,Old,0.75
CAR_0114,Mercedes,2010,Pickup,Hybrid,Manual,2020,491,30,67287.02699963127,UK,16,Luxury,0.2431,Old,1.0
CAR_0115,Ford,2015,Sedan,Diesel,Manual,2020,463,16,75383.2359902863,Japan,11,Luxury,0.2292,Moderate,0.3
CAR_0116,Toyota,2007,Hatchback,Hybrid,Manual,4382,552,23,80858.40496178968,China,19,Mid-Range,0.126,Old,0.65
CAR_0117,Mercedes,2024,Sedan,Petrol,Manual,2882,81,17,55496.98688749004,China,2,Mid-Range,0.0281,New,0.35
CAR_0118,BMW,2013,Sedan,Hybrid,Manual,1571,154,14,37640.20187073639,Japan,13,Mid-Range,0.098,Old,0.2
CAR_0119,Hyundai,2019,SUV,Diesel,Manual,3827,121,23,57406.38694301358,South Korea,7,Mid-Range,0.0316,Recent,0.65
CAR_0120,Tesla,2018,Hatchback,Hybrid,Manual,1500,70,24,31905.262289398306,South Korea,8,Premium,0.0467,Moderate,0.7
CAR_0121,Ford,2008,SUV,Electric,Manual,2997,151,17,27311.208000546118,South Korea,18,Budget,0.0504,Old,0.35
CAR_0122,Kia,2020,Sedan,Diesel,Automatic,2694,571,21,108537.22569172485,Germany,6,Budget,0.212,Recent,0.55
CAR_0123,Nissan,2020,Hatchback,Electric,Automatic,2748,295,28,77261.92548993317,USA,6,Mid-Range,0.1074,Recent,0.9
CAR_0124,Kia,2025,Sedan,Diesel,Manual,4033,295,10,91388.23226699333,South Korea,1,Budget,0.0731,New,0.0
CAR_0125,Audi,2017,Pickup,Petrol,Manual,2416,469,30,80745.38701227772,China,9,Luxury,0.1941,Moderate,1.0
CAR_0126,BMW,2015,Coupe,Hybrid,Manual,3918,158,17,50514.947880772925,China,11,Budget,0.0403,Moderate,0.35
CAR_0127,Audi,2025,Pickup,Petrol,Automatic,4459,403,16,104261.26846750769,UK,1,Luxury,0.0904,New,0.3
CAR_0128,Ford,2007,SUV,Electric,Manual,3603,384,23,56764.80453285467,UK,19,Luxury,0.1066,Old,0.65
CAR_0129,Kia,2016,Hatchback,Electric,Automatic,1955,407,24,71043.03920006391,Japan,10,Premium,0.2082,Moderate,0.7
CAR_0130,Toyota,2009,Hatchback,Hybrid,Manual,3955,165,12,34786.796200057994,UK,17,Luxury,0.0417,Old,0.1
CAR_0131,Nissan,2007,Hatchback,Electric,Automatic,2086,568,29,73782.9712593519,USA,19,Budget,0.2723,Old,0.95
CAR_0132,Audi,2019,Coupe,Electric,Manual,4372,173,28,66300.34345883806,USA,7,Luxury,0.0396,Recent,0.9
CAR_0133,Tesla,2005,Coupe,Hybrid,Manual,1509,365,17,36534.155998064816,China,21,Mid-Range,0.2419,Old,0.35
CAR_0134,Honda,2020,SUV,Petrol,Automatic,3230,583,25,110584.83499095011,South Korea,6,Budget,0.1805,Recent,0.75
CAR_0135,Nissan,2016,Pickup,Electric,Automatic,4626,392,26,83304.48326532716,South Korea,10,Budget,0.0847,Moderate,0.8
CAR_0136,BMW,2018,SUV,Petrol,Automatic,3610,212,23,60597.62162833089,Japan,8,Budget,0.0587,Moderate,0.65
CAR_0137,Ford,2007,Sedan,Electric,Manual,3469,155,22,30751.498870910284,Japan,19,Mid-Range,0.0447,Old,0.6
CAR_0138,Tesla,2006,Coupe,Hybrid,Automatic,2799,503,11,65180.67317539898,Japan,20,Budget,0.1797,Old,0.05
CAR_0139,Nissan,2006,SUV,Hybrid,Manual,3118,363,28,45618.145323794364,USA,20,Luxury,0.1164,Old,0.9
CAR_0140,Honda,2012,SUV,Diesel,Automatic,1047,503,25,69307.51487077016,China,14,Luxury,0.4804,Old,0.75
CAR_0141,Nissan,2009,Sedan,Electric,Manual,3424,254,21,41950.09164317962,USA,17,Mid-Range,0.0742,Old,0.55
CAR_0142,Nissan,2023,Sedan,Petrol,Manual,2833,88,23,57815.987055550875,China,3,Budget,0.0311,New,0.65
CAR_0143,Toyota,2013,SUV,Hybrid,Manual,4698,472,13,90168.613191277,Germany,13,Luxury,0.1005,Old,0.15
CAR_0144,Nissan,2019,Hatchback,Electric,Manual,3117,246,23,65635.56191831092,Germany,7,Budget,0.0789,Recent,0.65
CAR_0145,Tesla,2021,Hatchback,Hybrid,Manual,1830,575,23,107463.72679882191,USA,5,Premium,0.3142,Recent,0.65
CAR_0146,Nissan,2016,SUV,Petrol,Automatic,4277,273,20,67511.73100294554,UK,10,Luxury,0.0638,Moderate,0.5
CAR_0147,Mercedes,2008,Hatchback,Diesel,Manual,4948,115,19,34709.235998332064,Germany,18,Budget,0.0232,Old,0.45
CAR_0148,BMW,2020,Pickup,Electric,Automatic,3642,271,22,79084.33248271646,Japan,6,Premium,0.0744,Recent,0.6
CAR_0149,BMW,2014,Hatchback,Petrol,Manual,2029,314,13,57648.888027110384,UK,12,Premium,0.1548,Moderate,0.15
CAR_0150,Honda,2023,Sedan,Petrol,Automatic,2638,87,18,52517.00902400479,USA,3,Premium,0.033,New,0.4
CAR_0151,Hyundai,2007,Coupe,Petrol,Manual,1826,505,14,60828.23680586797,Germany,19,Premium,0.2766,Old,0.2
CAR_0152,Ford,2010,SUV,Petrol,Manual,3584,597,18,89884.10877002992,Germany,16,Mid-Range,0.1666,Old,0.4
CAR_0153,Toyota,2009,Coupe,Diesel,Automatic,4061,164,10,36973.80941278684,USA,17,Luxury,0.0404,Old,0.0
CAR_0154,Toyota,2010,SUV,Diesel,Manual,4111,362,19,61911.30281124024,USA,16,Luxury,0.0881,Old,0.45
CAR_0155,Mercedes,2009,SUV,Hybrid,Manual,2574,172,24,32241.93344137018,UK,17,Mid-Range,0.0668,Old,0.7
CAR_0156,Toyota,2020,Pickup,Hybrid,Manual,3855,421,15,93863.99783831024,China,6,Mid-Range,0.1092,Recent,0.25
CAR_0157,Audi,2010,Hatchback,Hybrid,Manual,4423,210,20,44896.51505022371,USA,16,Budget,0.0475,Old,0.5
CAR_0158,Nissan,2016,SUV,Petrol,Manual,2687,237,14,57888.37187163265,USA,10,Luxury,0.0882,Moderate,0.2
CAR_0159,Honda,2017,Sedan,Hybrid,Automatic,2992,129,24,44104.45656876833,Germany,9,Mid-Range,0.0431,Moderate,0.7
CAR_0160,Tesla,2018,SUV,Electric,Automatic,2606,379,30,78712.74463766911,Germany,8,Mid-Range,0.1454,Moderate,1.0
CAR_0161,Kia,2017,Hatchback,Petrol,Manual,1235,375,14,63723.92132405293,Germany,9,Mid-Range,0.3036,Moderate,0.2
CAR_0162,Audi,2012,Pickup,Electric,Manual,4946,553,28,95233.45384091536,Japan,14,Luxury,0.1118,Old,0.9
CAR_0163,Nissan,2015,Sedan,Electric,Manual,1373,595,15,88836.27497589099,South Korea,11,Luxury,0.4334,Moderate,0.25
CAR_0164,Audi,2017,Sedan,Electric,Manual,2690,83,30,39556.16895948111,USA,9,Budget,0.0309,Moderate,1.0
CAR_0165,Toyota,2009,Sedan,Electric,Manual,4662,116,30,35336.04969357961,South Korea,17,Luxury,0.0249,Old,1.0
CAR_0166,Mercedes,2023,SUV,Petrol,Automatic,1711,341,22,81123.87508642915,Japan,3,Luxury,0.1993,New,0.6
CAR_0167,Honda,2017,Coupe,Electric,Manual,1800,204,14,52390.20205551484,China,9,Budget,0.1133,Moderate,0.2
CAR_0168,Audi,2019,Hatchback,Hybrid,Manual,3897,248,14,69816.5246238671,China,7,Budget,0.0636,Recent,0.2
CAR_0169,Kia,2023,Coupe,Petrol,Automatic,3976,91,21,57736.64350392797,Germany,3,Mid-Range,0.0229,New,0.55
CAR_0170,Ford,2025,Hatchback,Petrol,Automatic,4391,318,21,96354.52389922856,Germany,1,Mid-Range,0.0724,New,0.55
CAR_0171,Mercedes,2010,SUV,Diesel,Automatic,2337,346,23,51576.2737695136,China,16,Luxury,0.1481,Old,0.65
CAR_0172,Hyundai,2006,Pickup,Electric,Automatic,3778,215,18,30921.839200907423,Japan,20,Mid-Range,0.0569,Old,0.4
CAR_0173,Tesla,2008,Coupe,Petrol,Automatic,3510,287,20,47227.897380765244,South Korea,18,Premium,0.0818,Old,0.5
CAR_0174,Mercedes,2010,Pickup,Hybrid,Automatic,4349,417,24,68267.85713716551,Germany,16,Luxury,0.0959,Old,0.7
CAR_0175,Ford,2009,SUV,Electric,Automatic,3025,402,16,62001.253159058964,China,17,Budget,0.1329,Old,0.3
CAR_0176,BMW,2005,Coupe,Hybrid,Automatic,2240,331,13,38617.60287523156,China,21,Premium,0.1478,Old,0.15
CAR_0177,Mercedes,2019,Coupe,Petrol,Manual,1477,234,17,57028.64357930239,USA,7,Premium,0.1584,Recent,0.35
CAR_0178,Hyundai,2013,Hatchback,Hybrid,Manual,4305,103,24,37076.472295640575,UK,13,Luxury,0.0239,Old,0.7
CAR_0179,BMW,2015,Coupe,Hybrid,Manual,1416,157,16,37483.71548841977,Germany,11,Premium,0.1109,Moderate,0.3
CAR_0180,Honda,2023,SUV,Hybrid,Manual,3140,298,11,86038.96504464583,Germany,3,Mid-Range,0.0949,New,0.05
CAR_0181,Kia,2021,Hatchback,Petrol,Manual,3854,575,12,115581.68712795086,China,5,Premium,0.1492,Recent,0.1
CAR_0182,Kia,2013,SUV,Diesel,Automatic,2286,215,11,42647.68007299634,China,13,Premium,0.0941,Old,0.05
CAR_0183,Toyota,2018,Pickup,Hybrid,Automatic,4080,437,12,92839.90177176782,Germany,8,Premium,0.1071,Moderate,0.1
CAR_0184,Tesla,2019,SUV,Diesel,Automatic,3148,437,10,91564.82109639717,USA,7,Mid-Range,0.1388,Recent,0.0
CAR_0185,Tesla,2022,SUV,Electric,Automatic,2075,569,11,109671.44629216974,Japan,4,Luxury,0.2742,Recent,0.05
CAR_0186,Honda,2021,Sedan,Petrol,Manual,4740,318,24,86546.21971940238,China,5,Luxury,0.0671,Recent,0.7
CAR_0187,Audi,2015,Pickup,Petrol,Automatic,1561,372,12,62879.580738097015,UK,11,Mid-Range,0.2383,Moderate,0.1
CAR_0188,Hyundai,2015,Sedan,Petrol,Manual,4527,289,12,69314.2812340282,USA,11,Luxury,0.0638,Moderate,0.1
CAR_0189,Nissan,2016,SUV,Petrol,Automatic,3206,227,22,56634.671630780904,China,10,Budget,0.0708,Moderate,0.6
CAR_0190,Ford,2005,Pickup,Petrol,Manual,2484,91,19,11345.45982593439,USA,21,Premium,0.0366,Old,0.45
CAR_0191,BMW,2007,SUV,Hybrid,Manual,1472,324,15,39483.0186878586,South Korea,19,Mid-Range,0.2201,Old,0.25
CAR_0192,Ford,2012,Sedan,Hybrid,Automatic,2071,419,14,66393.27711457288,UK,14,Premium,0.2023,Old,0.2
CAR_0193,Nissan,2023,Hatchback,Electric,Manual,2602,443,15,101262.18752205478,South Korea,3,Budget,0.1703,New,0.25
CAR_0194,Ford,2007,Hatchback,Hybrid,Automatic,1956,502,29,60589.95335329732,Germany,19,Mid-Range,0.2566,Old,0.95
CAR_0195,Nissan,2020,SUV,Diesel,Automatic,4798,464,20,102107.16798085111,Japan,6,Mid-Range,0.0967,Recent,0.5
CAR_0196,Audi,2017,SUV,Petrol,Automatic,2766,106,14,43459.06362591843,USA,9,Mid-Range,0.0383,Moderate,0.2
CAR_0197,Kia,2016,Sedan,Hybrid,Manual,3734,321,25,70967.01507994968,USA,10,Luxury,0.086,Moderate,0.75
CAR_0198,Toyota,2010,Pickup,Diesel,Automatic,2596,595,22,84821.88117890913,South Korea,16,Premium,0.2292,Old,0.6
CAR_0199,Hyundai,2007,Pickup,Hybrid,Automatic,3823,503,29,72818.13469057337,South Korea,19,Mid-Range,0.1316,Old,0.95
CAR_0200,Toyota,2017,Pickup,Petrol,Automatic,2224,168,15,49112.4970241971,South Korea,9,Mid-Range,0.0755,Moderate,0.25
CAR_0201,Toyota,2018,Sedan,Electric,Automatic,3423,329,15,74765.85845077585,Japan,8,Budget,0.0961,Moderate,0.25
CAR_0202,Toyota,2020,Sedan,Petrol,Automatic,3055,485,24,95871.22342699266,UK,6,Luxury,0.1588,Recent,0.7
CAR_0203,Mercedes,2009,SUV,Electric,Automatic,4205,340,20,62990.25819889735,Japan,17,Budget,0.0809,Old,0.5
CAR_0204,Audi,2025,Coupe,Electric,Automatic,3297,212,24,79280.13910227655,Japan,1,Budget,0.0643,New,0.7
CAR_0205,Toyota,2008,Pickup,Diesel,Manual,1176,389,18,45600.458299910024,Germany,18,Premium,0.3308,Old,0.4
